date,team1,team1_score,team2,team2_score,Home_Team_ID,Away_Team_ID,HomeWin,month,FGA_avg1,FG_pct_avg1,FTA_avg1,FT_pct_avg1,TOV_avg1,TRB_avg1,ast_avg1,blk_avg1,fg3_pct_avg1,fg3a_avg1,score_avg1,stl_avg1,FGA_avg2,FG_pct_avg2,FTA_avg2,FT_pct_avg2,TOV_avg2,TRB_avg2,ast_avg2,blk_avg2,fg3_pct_avg2,fg3a_avg2,score_avg2,stl_avg2
2023-11-03,Golden State,141,Oklahoma City,139,27,19,0,0,81.0,0.481,15.0,0.867,17.0,36.0,32.0,6.0,0.3549999999999999,31.0,102.0,5.0,88.0,0.43200000000000005,25.0,0.9200000000000002,14.0,49.0,23.0,5.0,0.20599999999999996,34.0,106.0,6.0
2023-11-03,Memphis,113,Portland,115,3,12,1,0,96.0,0.365,32.0,0.7809999999999999,15.0,42.0,25.0,7.0,0.25899999999999995,54.0,109.0,12.0,81.0,0.469,33.0,0.8180000000000001,17.0,44.0,23.0,7.0,0.35,20.0,110.0,10.0
2023-11-04,Boston,124,Brooklyn,114,7,20,0,0,95.0,0.5679999999999998,28.0,0.9639999999999999,11.0,57.0,27.0,2.0,0.571,35.0,155.0,5.0,89.0,0.4545,15.5,0.6655,13.0,43.0,29.5,4.0,0.42200000000000004,40.5,109.0,7.5
2023-11-04,Chicago,101,Denver,123,8,2,1,0,89.0,0.4774999999999999,12.5,0.8115,11.5,42.5,20.0,3.5,0.36300000000000004,30.5,106.0,7.0,94.5,0.4615000000000001,14.5,0.7184999999999999,16.0,47.0,28.0,8.0,0.3075,31.5,107.0,8.5
2023-11-04,Sacramento,89,Houston,107,29,4,1,0,88.0,0.40900000000000003,23.0,0.783,12.0,48.0,24.0,4.0,0.31400000000000006,35.0,101.0,8.0,84.0,0.524,23.0,0.8259999999999998,17.0,38.0,35.0,2.0,0.568,37.0,128.0,10.0
2023-11-04,Charlotte,125,Indiana,124,1,5,0,0,90.0,0.5,25.0,0.72,16.0,44.0,21.0,8.0,0.4069999999999999,27.0,119.0,9.0,93.5,0.4890000000000001,18.0,0.625,13.5,35.5,27.0,5.5,0.30950000000000005,34.0,112.5,6.5
2023-11-04,Utah,95,Minnesota,123,28,21,1,0,88.0,0.5005000000000001,25.0,0.7194999999999998,20.5,49.0,31.0,5.0,0.438,38.0,123.0,8.0,83.0,0.45799999999999996,27.0,0.9630000000000001,13.0,47.0,20.0,5.0,0.381,21.0,110.0,9.0
2023-11-04,Atlanta,123,New Orleans,105,10,22,0,0,92.0,0.5,32.0,0.9059999999999999,20.0,57.0,26.0,3.0,0.2810000000000001,32.0,130.0,8.0,91.0,0.43999999999999995,32.0,0.7645,11.0,47.0,25.0,6.0,0.374,37.0,117.5,6.5
2023-11-04,LA Lakers,101,Orlando,120,16,23,1,0,90.0,0.5110000000000001,36.0,0.75,14.0,51.0,28.0,9.0,0.344,32.0,130.0,10.0,85.0,0.459,36.0,0.7500000000000001,17.0,43.0,27.0,9.0,0.345,29.0,115.0,17.0
2023-11-04,Phoenix,100,Philadelphia,112,26,24,1,0,80.0,0.538,26.0,0.731,14.0,34.0,26.0,4.0,0.5,32.0,121.0,5.0,92.0,0.4570000000000001,25.0,0.8400000000000001,14.0,46.0,21.0,3.0,0.36,25.0,114.0,12.0
2023-11-05,Golden State,104,Cleveland,115,9,19,1,0,86.5,0.5069999999999999,22.5,0.85,16.0,37.0,34.0,4.0,0.4025,35.5,121.5,7.0,79.0,0.478,22.5,0.875,15.5,40.5,24.5,7.0,0.3305,30.0,105.5,8.5
2023-11-05,Charlotte,118,Dallas,124,17,5,1,0,89.0,0.5169999999999999,24.0,0.86,14.5,42.5,22.0,9.0,0.4035,23.5,122.0,7.0,83.5,0.467,22.5,0.798,14.0,39.5,25.0,4.0,0.41100000000000003,45.0,114.0,9.5
2023-11-05,Phoenix,120,Detroit,106,13,24,0,0,84.5,0.44900000000000007,29.5,0.7744999999999999,12.0,38.0,24.0,8.0,0.37849999999999995,33.5,110.5,8.0,92.0,0.44000000000000006,18.5,0.8584999999999999,17.0,43.0,27.0,4.5,0.3605,33.5,108.5,8.0
2023-11-05,Memphis,112,Portland,100,3,12,0,0,96.0,0.4275,22.5,0.7365,16.0,45.0,27.0,8.5,0.2725,44.5,111.0,10.0,88.5,0.4375,34.5,0.7979999999999999,15.5,47.0,21.0,7.0,0.3155,26.0,112.5,11.0
2023-11-05,Toronto,123,San Antonio,116,15,14,0,0,85.0,0.5205000000000001,16.5,0.8065000000000001,17.5,45.5,32.5,4.5,0.37600000000000006,33.0,114.5,5.5,98.0,0.52,13.0,0.9230000000000002,8.0,41.0,37.0,5.0,0.48599999999999993,37.0,132.0,7.0
2023-11-06,Milwaukee,129,Brooklyn,125,7,11,0,0,79.0,0.444,33.0,0.7255,13.0,35.0,21.5,6.5,0.4475,36.5,110.5,7.5,92.66666666666667,0.4463333333333333,16.0,0.6593333333333332,10.333333333333334,42.666666666666664,27.0,4.333333333333333,0.3903333333333334,44.333333333333336,110.66666666666667,6.333333333333333
2023-11-06,Utah,113,Chicago,130,2,21,1,0,89.0,0.462,22.333333333333332,0.7346666666666666,19.666666666666668,45.666666666666664,27.333333333333332,5.666666666666667,0.38500000000000006,39.666666666666664,113.66666666666667,6.333333333333333,88.0,0.4693333333333333,16.0,0.773,11.333333333333334,40.666666666666664,22.666666666666668,3.3333333333333335,0.33166666666666667,29.0,104.33333333333333,7.0
2023-11-06,New Orleans,116,Denver,134,8,10,1,0,88.66666666666667,0.45199999999999996,28.333333333333332,0.7796666666666666,10.333333333333334,43.0,24.666666666666668,6.333333333333333,0.3353333333333333,35.0,113.33333333333333,7.333333333333333,90.0,0.48066666666666674,19.666666666666668,0.7346666666666667,14.333333333333334,47.666666666666664,29.0,6.666666666666667,0.353,33.0,112.33333333333333,9.0
2023-11-06,Golden State,120,Detroit,109,13,19,0,0,89.0,0.4586666666666667,25.0,0.789,15.0,39.333333333333336,31.333333333333332,4.0,0.3983333333333334,37.333333333333336,115.66666666666667,8.0,90.33333333333333,0.458,17.0,0.858,16.666666666666668,39.666666666666664,26.333333333333332,5.0,0.35633333333333334,30.0,107.66666666666667,7.666666666666667
