date,team1,team1_score,team2,team2_score,team1_FGA,team1_FG_pct,team1_FTA,team1_FT_pct,team1_TRB,team1_fg3a,team1_fg3_pct,team1_TOV,team1_stl,team1_blk,team1_ast,team2_FGA,team2_FG_pct,team2_FTA,team2_FT_pct,team2_TRB,team2_fg3a,team2_fg3_pct,team2_TOV,team2_stl,team2_blk,team2_ast,Home_Team_ID,Away_Team_ID,HomeWin,month
2023-11-05,Phoenix,120,Detroit,106,86,0.5,29,0.897,43,21,0.381,18,8,10,29,87,0.494,14,0.857,33,23,0.348,16,7,6,25,13,24,0,0
2023-11-05,Memphis,112,Portland,100,89,0.506,13,0.692,49,32,0.406,16,6,7,27,95,0.389,15,0.8,47,45,0.311,14,11,5,23,3,12,0,0
2023-11-05,Toronto,123,San Antonio,116,97,0.454,26,0.615,47,48,0.396,14,12,6,29,96,0.5,13,0.769,46,32,0.313,17,7,7,30,15,14,0,0
2023-11-06,Milwaukee,129,Brooklyn,125,96,0.479,24,0.875,48,48,0.333,10,6,2,26,101,0.485,13,0.846,46,45,0.356,8,2,4,22,7,11,0,0
2023-11-06,Utah,113,Chicago,130,86,0.477,17,0.882,52,43,0.372,22,1,7,32,93,0.516,19,0.842,36,34,0.529,8,12,3,26,2,21,1,0
2023-11-06,New Orleans,116,Denver,134,90,0.5,15,0.867,38,30,0.433,13,6,2,24,95,0.537,23,0.739,45,39,0.385,9,6,5,37,8,10,1,0
2023-11-06,Golden State,120,Detroit,109,97,0.474,21,0.762,44,41,0.293,11,8,4,26,80,0.475,21,0.952,39,30,0.433,14,8,2,23,13,19,0,0
2023-11-06,Sacramento,97,Houston,122,81,0.444,20,0.55,34,40,0.35,13,5,2,22,75,0.573,27,0.778,39,31,0.484,10,8,4,28,29,4,1,0
2023-11-06,San Antonio,111,Indiana,152,94,0.426,30,0.767,36,26,0.308,11,7,5,26,95,0.579,23,0.957,49,38,0.526,14,7,4,38,1,15,1,0
2023-11-06,LA Lakers,107,Miami,108,81,0.543,14,0.786,38,26,0.308,17,6,5,28,88,0.466,16,0.875,44,37,0.324,17,11,4,30,25,23,1,0
2023-11-06,Boston,109,Minnesota,114,92,0.391,34,0.765,45,39,0.282,16,13,2,20,85,0.518,25,0.52,45,37,0.351,23,7,5,26,28,20,1,0
2023-11-06,LA Clippers,97,New York,111,73,0.493,16,0.875,31,32,0.344,22,8,3,21,88,0.466,18,0.944,48,31,0.387,19,13,1,28,18,6,1,0
2023-11-06,Atlanta,117,Oklahoma City,126,102,0.373,32,0.844,59,42,0.333,15,8,3,27,94,0.479,23,0.957,49,35,0.4,13,7,7,27,27,22,1,0
2023-11-06,Dallas,117,Orlando,102,82,0.5,28,0.714,31,40,0.375,14,9,6,21,85,0.471,18,0.778,38,27,0.296,20,6,4,27,16,17,0,0
2023-11-06,Washington,128,Philadelphia,146,96,0.51,20,0.8,38,34,0.412,19,6,10,31,91,0.56,36,0.889,45,31,0.387,15,12,7,37,26,0,1,0
2023-11-08,LA Clippers,93,Brooklyn,100,91,0.396,13,1.0,51,36,0.222,15,10,8,22,92,0.402,13,0.846,49,41,0.366,14,10,10,22,7,6,1,0
2023-11-08,Phoenix,116,Chicago,115,90,0.422,25,0.84,54,48,0.396,21,7,10,32,96,0.438,23,0.739,39,33,0.424,14,12,7,30,2,24,0,0
2023-11-08,Washington,132,Charlotte,116,97,0.485,25,0.8,40,43,0.419,10,10,6,26,79,0.519,35,0.743,47,25,0.32,20,8,5,17,5,0,0,0
2023-11-08,Toronto,127,Dallas,116,99,0.495,27,0.667,50,36,0.306,11,10,4,27,84,0.476,31,0.613,38,41,0.415,15,4,6,25,17,14,0,0
2023-11-08,Golden State,105,Denver,108,86,0.43,26,0.769,49,35,0.314,9,5,0,21,92,0.446,22,0.682,45,35,0.314,6,7,4,24,8,19,1,0
2023-11-08,LA Lakers,94,Houston,128,85,0.424,24,0.625,34,25,0.28,9,7,6,20,93,0.548,19,0.632,57,33,0.424,11,4,4,26,29,23,1,0
2023-11-08,Utah,118,Indiana,134,96,0.469,18,0.944,47,27,0.407,21,3,5,26,101,0.515,20,0.85,46,41,0.317,11,14,7,26,1,21,1,0
